gene	mean	median	longest_isoform	merged
CTDNEP1	1746	1746	1780	1855
ELP5	1611	1464	2206	2324
CLDN7	1791	1924	2009	2044
SLC2A4	3149	3149	3149	3149
YBX2	1583	1583	1583	1583
EIF5A	1302	1284	1355	1838
GPS2	1157	1157	1157	1157
NEURL4	5184	5184	5187	5187
ACAP1	2379	2390	2508	2512
KCTD11	3056	3056	3056	3056
TMEM95	858	791	1169	1205
TNK1	2915	2915	2923	2923
PLSCR3	2016	2016	2070	2070
TMEM256-PLSCR3	2050	2050	2050	2050
TMEM256	481	481	481	481
NLGN2	4587	4587	4646	4646
SPEM1	982	982	982	982
C17orf74	1510	1510	1650	1650
LOC102724073	2213	2725	2998	3154
TMEM102	1956	1956	1973	2129
FGF11	2715	2715	2715	2715
CHRNB1	2437	2437	2437	2437
ZBTB4	5825	5818	5942	6216
SLC35G6	1195	1195	1195	1195
POLR2A	6740	6740	6740	6740
TNFSF12-TNFSF13	1864	1864	1864	1864
TNFSF12	1505	1505	1625	1625
TNFSF13	2090	2192	2276	2276
SENP3	2494	2494	2494	2494
SENP3-EIF4A1	4303	4303	4303	4303
EIF4A1	1846	1846	1877	1877
SNORA48	135	135	135	135
SNORD10	148	148	148	148
SNORA67	137	137	137	137
CD68	1815	1815	1856	1856
LOC102724164	1291	1291	1303	1303
MPDU1	1489	1556	1621	1825
SOX15	1394	1394	1394	1394
FXR2	2767	2767	2987	3074
SHBG	1125	1151	1319	1558
SAT2	960	944	1131	1179
ATP1B2	3332	3332	3332	3332
TP53	2521	2588	2724	3098
WRAP53	1894	1877	1988	2394
EFNB3	3219	3219	3219	3219
DNAH2	14234	14234	14963	14992
RPL29P2	657	657	657	657
KDM6B	6368	6399	6757	7475
TMEM88	874	874	1119	1119
NAA38	1031	1032	1062	1246
CYB5D1	3684	3684	3746	3911
LOC102724217	594	342	1424	1692
CHD3	6980	7317	7422	7977
SCARNA21	138	138	138	138
LOC284023	2525	2525	2525	2525
KCNAB3	2626	2626	2795	2885
TRAPPC1	753	753	819	869
CNTROB	3827	3728	4143	4542
GUCY2D	3623	3623	3623	3623
ALOX15B	2613	2629	2716	2716
ALOX12B	2502	2502	2502	2502
MIR4314	55	55	92	92
ALOXE3	3328	3356	3397	3634
TRNAK1	73	73	73	73
TRNAQ1	72	72	72	72
TRNAL2	82	82	82	82
HES7	1674	1674	1682	1682
TRNAR1	73	73	73	73
TRNAG2	71	71	71	71
TRNAS6	82	82	82	82
TRNAT22	74	74	74	74
PER1	4649	4709	4709	4808
MIR6883	40	22	78	78
VAMP2	2320	2320	2485	2588
TMEM107	1767	1767	1776	1776
SNORD118	136	136	136	136
TRNAW3	72	72	72	72
TRNAS23	82	82	82	82
MIR4521	41	41	60	60
TRNAT8	74	74	74	74
TRNAI23	74	74	74	74
C17orf59	1914	1914	1914	1914
AURKB	1260	1260	1300	1300
LINC00324	2094	2094	2094	2094
TRNAW4	72	72	72	72
TRNAG18	72	72	72	72
TRNAD17	72	72	72	72
TRNAP8	72	72	72	72
CTC1	5708	6215	7072	7072
TRNAT9	74	74	74	74
TRNAS14	82	82	82	82
TRNAI24	74	74	74	74
PFAS	4301	4301	5385	5640
SLC25A35	2051	1854	2785	3942
RANGRF	1022	1035	1166	1391
ARHGEF15	3911	4147	4204	4332
ODF4	994	1005	1149	1350
LOC100128288	2129	2129	2129	2129
KRBA2	2585	2713	2897	3268
RPL26	747	789	870	958
RNF222	3067	3067	3067	3067
NDEL1	2321	2331	2433	3687
MYH10	7729	7724	7799	7845
LOC102724262	2120	2120	2314	2314
LOC102724287	97	108	128	156
CCDC42	1350	1380	1512	1634
SPDYE4	1117	1063	1367	1399
MFSD6L	2240	2240	2240	2240
PIK3R6	3041	3041	3041	3041
PIK3R5	4327	4406	4558	4757
LOC101928235	1830	1830	1835	1835
NTN1	3986	3986	5954	6080
RP11-85B7.2	5672	5672	5672	5672
STX8	865	865	968	968
WDR16	2053	1989	2193	2193
USP43	4157	4157	4165	4165
DHRS7C	1058	1058	1113	1120
LOC644070	915	915	915	915
GLP2R	2122	2122	2582	2909
RCVRN	1175	1175	1175	1175
GAS7	7991	8024	8211	9132
MYH13	5992	5992	5992	5992
LOC102724366	246	246	246	246
MYH8	6038	6038	6038	6038
MYH4	5919	5919	6016	6021
MYH1	6023	6023	6023	6023
MYH2	6086	6086	6086	6151
LOC100128560	3011	3166	3380	3599
MYH3	6066	6066	6094	6115
SCO1	1735	1735	1754	1757
ADPRM	2601	2947	2995	2995
TMEM220	1963	1963	3092	3092
MAGOH2	640	640	640	640
TMEM220-AS1	640	622	738	1360
LINC00675	1530	1530	1530	1530
PIRT	3466	3466	3466	3466
LOC101928325	579	579	579	579
SHISA6	7345	7358	7415	7415
DNAH9	9095	8542	13750	14084
LOC101928350	214	214	225	254
ZNF18	2474	2330	2767	2853
MAP2K4	3753	3718	3873	3999
MIR744	47	22	98	98
LINC00670	2686	2686	2767	2767
MYOCD	8507	8500	8609	8609
AC005358.3	1143	1143	1143	1143
LOC100128006	3727	3727	3727	3727
ARHGAP44	4039	4114	4256	4308
MIR1269B	48	48	75	75
ELAC2	3763	3801	3804	3804
HS3ST3A1	2527	2527	2527	2527
MIR548H3	70	70	118	118
LOC100506974	3004	3004	3004	3004
CDRT15P1	1101	1101	1101	1101
COX10-AS1	1944	1944	1944	1944
COX10	1646	1069	3002	3344
CDRT15	611	611	655	779
HS3ST3B1	2566	2566	3101	3574
MGC12916	2006	2006	2006	2006
LOC101928475	976	976	976	976
CDRT7	767	767	767	767
CDRT8	719	719	719	719
PMP22	1785	1818	1861	2109
MIR4731	38	22	70	70
TEKT3	1784	1784	1784	1784
TVP23C-CDRT4	2836	2836	2909	2909
CDRT4	2498	2498	2498	2498
TVP23C	2920	2920	4227	5196
CDRT1	2986	2986	3210	3775
TRIM16	2901	2901	2901	2901
ZNF286A	5364	5394	5605	5605
TBC1D26	1869	1869	1869	1869
CDRT15P2	571	571	571	571
MEIS3P1	2856	2856	2856	2856
AC015922.6	951	951	951	951
ADORA2B	1885	1885	1885	1885
ZSWIM7	1943	1943	2008	2008
TTC19	3567	3567	3636	3636
NCOR1	8214	8704	9794	10480
PIGL	1482	1126	2643	2657
MIR1288	48	48	75	75
CENPV	1164	1164	1164	1164
LOC102724483	202	202	205	205
UBB	1046	1039	1232	1626
TRPV2	2571	2632	2808	2991
FAM211A-AS1	952	971	1391	2516
SNORD49B	48	48	48	48
SNORD49A	71	71	71	71
SNORD65	73	73	73	73
FAM211A	2761	2761	2819	2819
ZNF287	3887	3919	4278	4322
ZNF624	4334	4334	4424	4440
CCDC144A	4425	4861	5828	6125
USP32P1	3901	3901	3901	3901
FAM106CP	1759	1759	1759	1759
KRT16P2	1575	1575	1575	1575
LOC102724543	2056	2056	2056	2056
TBC1D27	4479	4479	4479	4479
TNFRSF13B	1358	1358	1358	1358
AC104024.1	2201	2201	2201	2201
MPRIP	13479	14929	15109	15114
LOC101928660	1421	1421	1421	1421
PLD6	2577	2577	2577	2577
FLCN	2608	2077	3873	4257
COPS3	1670	1697	1863	2075
NT5M	1328	1498	1646	1805
SMCR9	543	543	543	543
MED9	2222	2222	2222	2222
RASD1	1711	1711	1748	1748
PEMT	978	981	1047	1376
RAI1	7662	7662	7662	7662
SMCR5	2844	2844	2844	2844
SREBF1	4825	4854	5001	5039
MIR6777	36	23	66	66
MIR33B	46	22	96	96
TOM1L2	5671	5696	5861	6012
LOC100507131	2577	2577	2577	2577
LRRC48	1848	1942	2169	2657
ATPAF2	1371	1371	1552	1858
GID4	3085	3989	4232	4607
DRG2	1782	2009	2026	2076
MYO15A	11619	11619	11863	11872
ALKBH5	3434	3434	3434	3434
LLGL1	4061	3995	4225	4254
FLII	4218	4202	4359	4550
MIEF2	2517	2519	2593	2645
TOP3A	3702	4029	4116	4116
SMCR8	8310	8310	8310	8310
SHMT1	2509	2495	2611	2692
MIR6778	38	22	73	73
EVPLL	1992	1992	1992	1992
LOC101928729	4968	4968	4968	4968
FLJ35934	1879	1879	1879	1879
LOC339240	3153	3153	3153	3153
KRT16P1	1816	1816	1816	1816
LGALS9C	1685	1716	1719	1719
USP32P2	4775	4775	4775	4775
FAM106A	2281	2281	2281	2281
CCDC144B	8697	8697	8697	8697
TBC1D28	1606	1606	1978	2166
ZNF286B	5328	5328	5328	5328
FOXO3B	7259	7259	7259	7259
TRIM16L	2066	2198	2717	4250
FBXW10	3163	3283	3484	4329
TVP23B	1398	1644	1789	1935
LOC101929141	1583	1583	1583	1583
PRPSAP2	1872	1875	2075	2335
SLC5A10	2108	2109	2220	2453
LOC101928787	1489	1489	1489	1489
FAM83G	2930	2930	2930	2930
GRAP	1464	1873	2033	2157
SNORD3B-1	217	217	217	217
SNORD3B-2	217	217	217	217
LOC102724624	858	858	858	858
SNORD3D	217	217	217	217
GRAPL	967	967	967	967
LOC79999	855	855	855	855
SNORD3A	217	217	217	217
SNORD3C	217	217	217	217
LOC388436	588	588	588	588
EPN2	3916	4335	4835	5666
EPN2-IT1	826	826	826	826
EPN2-AS1	1190	1190	1190	1190
B9D1	948	931	1163	2736
MIR1180	45	45	69	69
MAPK7	2930	2910	3168	3784
MFAP4	1906	1906	1961	1961
RNF112	3146	3183	3228	3276
TRNAW7	72	72	72	72
SLC47A1	3279	3279	3279	3279
SNORA59B	152	152	152	152
LOC100996813	1165	1165	1165	1165
ALDH3A2	3762	3762	3823	3827
SLC47A2	1989	1775	3436	4773
ALDH3A1	1973	2013	2375	2946
ULK2	6197	5556	9139	9139
TRNAG26	71	71	71	71
AKAP10	3282	3629	3941	3941
SPECC1	4286	4092	5081	7112
CCDC144CP	4204	4204	4204	4204
FAM106B	1118	1118	1118	1118
LGALS9B	1426	1426	1610	1714
KRT16P3	1956	1956	1956	1956
LOC100996294	787	787	787	787
CDRT15L2	1048	1048	1048	1048
LOC100287072	2143	2143	2143	2143
CCDC144NL	2806	2806	2806	2806
RP11-344E13.3	3469	3469	3469	3469
LOC102724783	2764	2764	2764	2764
LOC339260	687	687	687	687
USP22	5077	5077	5220	5309
HP08942	792	792	914	942
DHRS7B	1601	1543	1841	2300
LOC101928974	326	326	326	326
TMEM11	1542	1542	1688	1688
LOC102724831	456	456	456	456
C17orf103	4787	4787	4787	4787
MAP2K3	2190	2100	2428	2632
KCNJ12	5008	5008	5230	5313
C17orf51	3004	1525	7912	8829
LOC101930665	583	583	583	583
KCNJ18	1902	1902	2196	2446
LOC100996792	341	341	341	341
LOC100996792-2	223	223	223	223
FAM27L	609	609	609	609
FLJ36000	3798	3798	3798	3798
LOC102723754	48	48	48	48
MTRNR2L1	1555	1555	1555	1555
MIR4522	54	54	87	87
WSB1	2681	2677	4202	4202
TBC1D3P5	3083	3083	3083	3083
KSR1	5511	5818	7318	8634
LGALS9	1592	1597	1764	1764
NOS2	4206	4206	4206	4206
LYRM9	1577	1598	1653	1992
NLK	3837	3837	4133	4220
LOC102724517	1044	1044	1044	1044
PYY2	1071	1071	1071	1071
PPY2	657	657	657	657
LOC101060106	849	849	849	849
KRT18P55	1950	1950	1950	1950
TMEM97	2328	2328	2568	2568
IFT20	919	896	1115	1233
TNFAIP1	3809	3809	3809	3809
POLDIP2	2723	2723	2723	2723
TMEM199	1449	1449	1449	1449
MIR4723	42	24	81	81
SEBOX	666	666	666	666
VTN	1678	1678	1678	1678
SARM1	7305	7305	7305	7305
SLC46A1	4985	6408	6492	6492
SLC13A2	2423	2428	2505	2649
FOXN1	2423	2423	2697	2881
UNC119	1517	1517	1651	1651
PIGS	2873	2873	2873	2873
ALDOC	1785	1722	1982	2038
SPAG5	3808	3808	3808	3808
SPAG5-AS1	1365	1365	1365	1365
SGK494	3852	3852	3926	3926
KIAA0100	6656	7201	7435	7436
SDF2	1413	1413	1565	1582
SUPT6H	5996	5980	6148	6498
PROCA1	1617	1618	1909	2348
RAB34	1398	1348	1766	1916
NARR	839	839	839	839
RPL23A	970	970	970	970
SNORD42B	67	67	67	67
SNORD4A	72	72	72	72
SNORD42A	62	62	62	62
SNORD4B	74	74	74	74
TLCD1	966	989	1021	1474
NEK8	2404	2404	2858	3018
TRAF4	2902	2902	2902	2902
FAM222B	4210	4219	4350	4986
ERAL1	1825	1825	1825	1825
MIR451A	47	47	72	72
MIR451B	45	45	68	68
MIR144	42	22	86	86
MIR4732	40	23	76	76
FLOT2	2533	2542	2632	2723
DHRS13	1469	1469	1921	2093
PHF12	3748	3781	4475	4979
LOC101927018	1143	1147	1221	1804
SEZ6	4228	4228	4236	4236
PIPOX	2412	2412	2412	2412
MYO18A	7560	7560	7583	7583
TIAF1	2089	2089	2089	2089
CRYBA1	817	817	835	893
NUFIP2	10880	10880	10880	10880
MIR4523	45	45	69	69
TAOK1	11859	11859	12081	12081
ABHD15	3365	3365	3365	3365
TP53I13	1732	1762	2170	2748
GIT1	3746	3746	3760	3760
ANKRD13B	3119	3112	3173	3300
CORO6	2059	1938	2458	3780
SSH2	7176	9109	9484	10265
EFCAB5	4462	4494	5132	6456
NSRP1	2468	2468	2515	2515
MIR423	46	23	94	94
MIR3184	40	24	75	75
SLC6A4	6606	6606	6606	6606
BLMH	2537	2537	2537	2537
TMIGD1	1159	1159	1201	1222
CPD	8724	8724	9043	9208
GOSR1	3311	3352	5231	5576
LOC101927037	353	353	353	353
TBC1D29	1028	1028	1387	1387
LOC101927093	833	833	833	833
LRRC37BP1	4597	4597	4597	4597
SH3GL1P2	2506	2506	2506	2506
SUZ12P1	728	728	728	728
CRLF3	2799	2733	2941	2963
ATAD5	6245	6245	6245	6245
TEFM	1581	1581	1823	1846
ADAP2	1854	1571	2749	2767
RNF135	2131	2153	2360	3219
DPRXP4	670	670	670	670
LOC646021	1581	1581	1581	1581
NF1	10424	12363	12457	13705
MIR4733	40	22	76	76
LOC101927057	865	865	865	865
OMG	1895	1895	1895	1895
EVI2B	2475	2475	2956	2968
EVI2A	2939	2939	3010	3010
RAB11FIP4	8464	8464	8624	8871
MIR4724	44	23	89	89
TRNAT10	72	72	72	72
MIR193A	44	22	88	88
MIR4725	44	22	90	90
MIR365B	51	22	111	111
COPRS	991	991	1045	1254
UTP6	1808	1917	2065	2065
SUZ12	3569	4161	4477	4484
LRRC37B	3027	3027	3027	3027
SH3GL1P1	2497	2497	2497	2497
LOC102724625	297	297	297	297
RHOT1	2883	3182	3395	3905
ARGFXP2	1215	1215	1215	1215
LOC100506596	766	766	766	766
RHBDL3	4462	4542	4661	4693
C17orf75	2139	1366	4583	4771
MIR632	56	56	94	94
ZNF207	2283	2282	2337	2526
PSMD11	3957	3957	4018	4018
CDK5R1	3854	3854	3854	3854
MYO1D	5182	5182	5182	5182
LOC102724697	1022	1022	1022	1022
LOC101927198	485	485	491	587
LOC102724715	826	826	826	826
TMEM98	1757	1757	1795	1795
LOC102724731	491	491	509	509
SPACA3	819	819	819	819
ASIC2	3067	3067	3443	4272
AA06	632	632	632	632
LOC147004	2103	2103	2103	2103
RP11-215E13.1	1077	1077	1077	1077
CCL2	749	749	749	749
CCL7	815	815	815	815
CCL11	925	925	925	925
CCL8	1250	1250	1250	1250
CCL13	851	851	851	851
CCL1	594	594	594	594
C17orf102	3997	3997	3997	3997
TMEM132E	4196	4196	4369	4418
CCT6B	1803	1787	1898	2073
ZNF830	1657	1657	1657	1657
LIG3	3649	3671	4143	5004
RFFL	4151	4151	4181	4346
RAD51L3-RFFL	3904	3904	3904	3904
RAD51D	2274	2285	2464	2583
FNDC8	1491	1491	1627	2011
NLE1	2338	2613	2684	2783
UNC45B	5356	5671	5679	5702
SLC35G3	1874	1874	1874	1874
LOC102724792	1740	1740	1740	1740
SLFN5	3922	3922	4654	4654
SLFN11	5115	5111	5281	5382
SLFN12	2366	2425	2530	2842
SLFN13	5724	4932	8469	9304
SLFN12L	1767	1767	1767	1767
SLFN14	3116	3116	3351	3351
SNORD7	97	97	97	97
PEX12	2683	2683	2683	2683
AP2B1	5186	5725	5824	6719
RASL10B	3194	3194	3194	3194
GAS2L2	3127	3127	3241	3349
C17orf50	767	767	1031	1057
MMP28	1743	1743	2465	2848
TAF15	2186	2186	2191	2191
C17orf66	1637	1523	1969	2201
CCL5	1271	1271	1312	1312
RDM1	888	896	1166	1309
LYZL6	980	946	1071	1071
CCL16	1601	1601	1705	1705
CCL15-CCL14	1440	1440	1464	1464
CCL14	530	530	554	554
LOC101927339	4230	4230	4230	4230
CCL15	1073	1073	1073	1073
CCL23	659	626	777	778
CCL18	770	770	770	770
LOC102724850	617	617	617	617
CCL3	797	797	797	797
CCL4	667	667	667	667
LOC101927369	348	348	348	348
TBC1D3B	2214	2214	2314	2344
CCL3L3	774	774	774	774
CCL4L1	659	659	659	659
LOC102724862	2305	2368	2704	3091
LOC102724956	386	386	386	386
LOC101060212	3975	3975	3975	3975
LOC101060321	2149	2104	2345	2459
LOC102723399	386	386	386	386
LOC102723414	160	160	160	160
TBC1D3H	2389	2566	2719	3081
TBC1D3F	2080	2080	2080	2080
LOC100510707	1268	1268	1268	1268
ZNHIT3	1236	954	2064	2664
MYO19	3432	3771	4401	4894
PIGW	2398	2308	2632	2641
GGNBP2	2838	2838	2847	2853
DHRS11	1288	1345	1598	1894
MRM1	1322	1249	1833	2249
LOC102723456	392	392	392	392
LOC102723471	1508	1508	1508	1508
LHX1	3428	3428	3428	3428
AATF	2141	2141	2141	2141
MIR2909	45	45	69	69
ACACA	9641	9626	10662	11465
LOC102723486	218	218	218	218
C17orf78	1915	1915	1968	2018
TADA2A	1690	1726	2111	2511
DUSP14	1524	1524	1540	1654
SYNRG	7765	8088	8486	8637
DDX52	3352	3352	3822	3822
MIR378J	64	64	109	109
HNF1B	2797	2797	2836	2836
YWHAEP7	2455	2455	2455	2455
LOC102723595	386	386	386	386
LOC101060351	2619	2719	2915	3833
LOC102723608	160	160	160	160
LOC101060376	2699	2866	3333	3589
LOC102723719	548	548	548	548
LOC102723732	548	548	548	548
LOC101060389	2699	2866	3333	3589
LOC102723819	160	160	160	160
TBC1D3C	2672	2827	3255	3738
LOC102723836	548	548	548	548
LOC101929950	1205	1331	1429	1592
LOC102723859	2412	2412	2412	2412
LOC102723851	589	589	589	589
LOC102723933	160	160	160	160
TBC1D3	2305	2305	2305	2305
LOC102723943	386	386	386	386
LOC440434	1652	1652	1652	1652
MRPL45	1630	1630	1705	1705
GPR179	7980	7980	7980	7980
SOCS7	5410	7729	7978	8602
ARHGAP23	4478	4014	5944	6048
LOC101929494	392	369	562	738
SRCIN1	6243	6720	7050	9289
LOC101929513	2189	2189	2189	2189
C17orf96	3232	3232	3232	3232
MIR4734	46	46	70	70
LOC101929533	1176	1176	1176	1176
MLLT6	7440	7500	7581	7581
MIR4726	34	23	58	58
CISD3	2636	2636	2636	2636
PCGF2	2879	2604	3621	4167
LOC100287808	2543	2543	2543	2543
TRNAN17	74	74	74	74
PSMB3	711	719	796	796
PIP4K2B	5319	5281	5732	6022
CWC25	2236	2240	3220	3412
MIR4727	32	22	55	55
C17orf98	566	566	566	566
RPL23	577	577	577	577
SNORA21	133	133	133	133
TRNAC30	72	72	72	72
TRNAC5	72	72	72	72
TRNAC7	72	72	72	72
LASP1	4137	4109	4279	4279
MIR6779	35	21	64	64
LINC00672	3692	3692	3692	3692
FBXO47	2302	2302	2302	2302
LOC102724038	48	48	48	48
LRRC37A11P	3580	3580	3580	3580
LOC100131347	2305	2305	2305	2305
PLXDC1	3176	2452	6252	6711
TRNAC9	72	72	72	72
TRNAC29	72	72	72	72
ARL5C	941	941	941	941
CACNB1	2613	2769	3742	4273
RPL19	909	909	1086	1126
STAC2	2224	2224	3277	3320
LOC101929578	1229	1155	1507	2074
FBXL20	6266	6266	10381	10486
MED1	6311	8011	8148	8148
CDK12	6282	5877	8284	11311
NEUROD2	2966	2966	3032	3096
PPP1R1B	1648	1664	1844	2069
STARD3	2356	2072	2834	2954
TCAP	963	963	963	963
PNMT	890	890	958	1048
PGAP3	2687	2687	2687	2687
ERBB2	3917	4592	4816	5461
MIR4728	38	25	67	67
MIEN1	795	795	837	837
GRB7	2190	2191	2262	2701
IKZF3	9423	9440	9793	10008
ZPBP2	1794	2191	2257	2331
GSDMB	1995	1612	2744	3581
ORMDL3	2114	2108	2139	2244
LOC101928947	906	906	906	906
LRRC3C	878	878	878	878
GSDMA	2173	2173	2182	2295
PSMD3	2187	2187	2187	2187
LOC102724103	517	517	517	517
CSF3	1578	1583	1759	1768
MED24	3702	3693	3806	4147
MIR6884	41	23	78	78
SNORD124	104	104	104	104
THRA	2463	2465	2533	3496
NR1D1	2775	2775	2775	2775
MSL1	4523	4852	4900	4900
CASC3	4063	4063	4180	4180
MIR6866	38	23	69	69
RAPGEFL1	3582	3470	5135	6932
MIR6867	37	23	67	67
WIPF2	5849	5990	6032	6186
CDC6	3053	3053	3053	3053
RARA	3301	3284	3477	5378
RARA-AS1	1529	1529	1529	1529
GJD3	4042	4042	4042	4042
TOP2A	5722	5722	5753	5875
IGFBP4	2236	2236	2236	2236
LOC102724129	4363	4363	4363	4363
TNS4	4110	4110	4148	4151
LOC101059954	703	703	703	703
CCR7	2185	2185	2185	2185
SMARCE1	2425	2425	2425	2425
KRT222	1735	1735	1735	1735
KRT24	1705	1705	1881	1881
KRT25	1559	1559	1670	1670
KRT26	1551	1464	1730	1730
KRT27	1612	1612	1612	1612
KRT28	1692	1692	1692	1692
KRT10	2145	2145	2150	2160
TMEM99	1883	2061	2073	2285
KRT12	1992	1992	1992	1992
KRT20	1662	1662	1805	1805
KRT23	1765	1682	2210	2428
KRT39	1696	1696	1696	1696
KRT40	2020	2020	2102	2191
KRTAP3-3	704	704	704	704
KRTAP3-2	694	694	694	694
KRTAP3-1	594	594	594	594
KRTAP1-5	1177	1177	1177	1177
KRTAP1-4	449	449	449	449
KRTAP1-3	972	972	972	972
KRTAP1-1	903	903	903	903
KRTAP2-1	776	776	776	776
KRTAP2-2	714	714	714	714
KRTAP2-3	853	853	853	853
KRTAP2-4	764	764	764	764
KRTAP4-7	938	938	938	938
KRTAP4-8	1143	1143	1143	1143
KRTAP4-9	1100	1100	1100	1100
KRTAP4-11	1174	1174	1174	1174
KRTAP4-12	1077	1077	1077	1077
KRTAP4-6	1055	1055	1055	1055
KRTAP4-5	879	879	879	879
KRTAP4-4	1079	1079	1079	1079
KRTAP4-3	942	942	942	942
KRTAP4-2	763	763	763	763
KRTAP4-1	739	739	739	739
KRTAP9-1	660	660	753	753
KRTAP9-2	1005	1005	1005	1005
KRTAP9-3	992	992	992	992
KRTAP9-8	987	987	987	987
KRTAP9-4	967	967	967	967
KRTAP9-9	981	981	981	981
KRTAP9-6	483	483	483	483
KRTAP9-7	510	510	510	510
KRTAP29-1	1026	1026	1026	1026
KRTAP16-1	1554	1554	1554	1554
KRTAP17-1	779	779	779	779
KRT33A	1287	1287	1287	1287
KRT33B	1607	1607	1607	1607
KRT34	1713	1713	1713	1713
KRT31	1447	1447	1596	1637
AC003958.2	2160	2160	2160	2160
KRT37	1718	1718	1718	1718
KRT38	2837	2837	2837	2837
KRT32	2005	2005	2005	2005
KRT35	1671	1671	1671	1671
KRT36	1675	1675	1707	1865
KRT13	1702	1702	1715	1715
KRT15	2519	2791	2928	3304
MIR6510	32	22	54	54
KRT19	1471	1471	1471	1471
LINC00974	2141	2141	2141	2141
KRT9	2290	2290	2290	2290
KRT14	1636	1636	1636	1636
KRT16	1718	1718	1718	1718
KRT17	1869	1869	2165	2419
KRT42P	2864	2864	2864	2864
EIF1	1326	1326	1326	1326
GAST	470	470	470	470
HAP1	3892	3883	3934	3958
JUP	3257	3223	3508	4055
LEPREL4	2795	2837	2904	3033
FKBP10	3034	3034	3185	3331
NT5C3B	1508	1498	1646	1741
KLHL10	1971	2007	2009	2238
KLHL11	2326	2326	2326	2326
ACLY	4359	4353	4412	4555
TTC25	2080	2080	2276	2370
CNP	5216	5222	5250	5494
DNAJC7	2172	2186	2486	3011
NKIRAS2	2423	2431	2501	2609
ZNF385C	2549	2590	2596	2630
LOC100507656	3695	3695	3695	3695
DHX58	2521	2521	2617	2617
KAT2A	2873	3112	3143	3335
HSPB9	616	616	616	616
RAB5C	1809	1815	1914	2031
KCNH4	3923	3923	3923	3923
HCRT	577	577	577	577
GHDC	2500	2490	2693	2922
STAT5B	3962	4717	5094	5527
STAT5A	4134	4122	4401	4490
STAT3	4966	4995	5025	5047
PTRF	2680	2680	3634	4667
ATP6V0A1	4078	4131	4143	4161
MIR548AT	33	22	58	58
MIR5010	54	22	120	120
NAGLU	2241	1971	2783	2783
HSD17B1	1714	1800	2231	2430
COASY	2300	2297	2557	2557
MLX	2424	2400	2562	2562
PSMC3IP	1476	1445	1737	1980
FAM134C	3730	3778	3809	3809
TUBG1	1951	1951	1951	1951
TUBG2	1698	1818	1845	1845
PLEKHH3	2778	3014	3062	3571
CCR10	1244	1244	1244	1244
CNTNAP1	5782	5782	6109	6428
EZH1	4540	4544	4646	4670
MIR6780A	37	23	68	68
RAMP2-AS1	2484	2484	3272	3272
RAMP2	785	785	785	785
VPS25	1102	1102	1102	1102
WNK4	3825	4091	4223	4223
COA3	808	808	808	808
CNTD1	2387	2223	3277	3461
BECN1	2014	2015	2143	2143
MIR6781	35	22	64	64
PSME3	3500	3456	3764	3803
AOC2	2624	2624	2665	2665
AOC3	3567	3922	4032	4154
AOC4P	2073	2073	2073	2073
LOC102724175	1229	1229	1229	1229
LINC00671	1844	1844	1844	1844
G6PC	4122	4122	4161	4161
PTGES3L-AARSD1	1982	1982	2174	2273
AARSD1	1364	1364	1364	1364
PTGES3L	1935	1907	2006	2006
RUNDC1	3022	3007	3895	3898
RPL27	495	495	495	495
IFI35	1236	1236	1250	1250
VAT1	2758	2758	2758	2758
RND2	4070	4070	4152	4197
BRCA1	5910	7115	7692	7807
NBR2	1371	1371	1371	1371
LOC101926920	788	788	788	788
RP11-242D8.1	925	925	1191	1602
LOC101926902	235	235	235	235
NBR1	4664	4626	4974	5102
TMEM106A	3138	3151	3426	3618
LINC00854	966	966	966	966
RNU2-1	188	188	188	188
LINC00910	2840	2840	3024	4399
ARL4D	1585	1585	1585	1585
MIR2117	50	50	80	80
DHX8	4907	4200	6682	6707
ETV4	2146	2259	2430	2761
MEOX1	2208	2169	2315	2339
SOST	2300	2300	2300	2300
DUSP3	4122	4122	4122	4122
C17orf105	827	827	827	827
MPP3	2064	2258	2975	3337
CD300LG	2125	2275	2786	4438
MPP2	4461	4422	4942	5618
FAM215A	780	780	780	780
LOC102724183	701	701	701	701
PPY	457	457	457	457
PYY	1053	1053	1053	1053
NAGS	2072	2072	2072	2072
TMEM101	1666	1631	1830	1912
LSM12	2484	2484	2484	2484
G6PC3	1454	1607	1772	1831
HDAC5	5586	5322	7320	7400
C17orf53	2495	2573	2725	2725
ASB16	2139	2139	2139	2139
ASB16-AS1	1590	1590	2259	2259
TMUB2	1882	1990	2423	2759
ATXN7L3	3730	3730	3868	4095
LOC101926967	1585	1585	1709	1925
UBTF	4721	4689	4997	5481
MIR6782	39	25	69	69
SLC4A1	4536	4405	4953	4992
AC003102.3	5041	5041	5041	5041
RUNDC3A	2264	2013	3683	4611
SLC25A39	1647	1598	1860	1865
GRN	2348	2348	2391	2580
FAM171A2	2634	2634	2634	2634
ITGA2B	3334	3334	3334	3334
GPATCH8	6877	6815	7037	7117
FZD2	3819	3819	3819	3819
LINC01180	2025	2025	2025	2025
C17orf104	4205	4562	4682	5103
CCDC43	2108	2108	2138	2138
DBF4B	2193	2321	3398	5380
ADAM11	4172	4172	4402	5064
LOC102724278	64	65	66	99
GJC1	7478	7639	7644	7990
HIGD1B	815	809	1136	1608
EFTUD2	4166	4152	4304	4561
CCDC103	1746	1740	1795	1799
GFAP	2367	2185	3086	4034
KIF18B	4187	4246	4289	4330
